season_year,teamName,personName,PER,MPG,PPG,FGM_PG,FGA_PG,3PM_PG,3PA_PG,FTM_PG,FTA_PG,ORPG,DRPG,RPG,APG,SPG,BPG,TOPG,PFPG,plusMinus_PG,FG%,3PT%,FT%,AST_TO,STL_TO,TOV_pct,USG_pct,TS%
2023-24,76ers,Joel Embiid,37.65,30.45,31.47,10.47,19.79,1.26,3.23,9.28,10.51,2.21,7.79,10.0,5.09,1.07,1.53,3.49,2.6,6.21,0.529,0.388,0.883,1.46,0.30666666666666664,12.5012501250125,108.59821881109265,0.6443593553548976
2023-24,Nuggets,Nikola Jokic,33.51,34.64,26.39,10.41,17.86,1.05,2.92,4.53,5.54,2.82,9.53,12.35,8.96,1.37,0.86,3.0,2.46,8.63,0.583,0.359,0.817,2.9873417721518987,0.45569620253164556,12.875396583945413,113.78483297480396,0.6500511311201457
2023-24,Bucks,Giannis Antetokounmpo,33.4,35.17,30.44,11.47,18.75,0.47,1.7,7.04,10.71,2.68,8.84,11.52,6.52,1.19,1.08,3.42,2.88,4.64,0.611,0.274,0.657,1.904,0.348,12.735089756912608,111.09174457296781,0.6485394727625097
2023-24,Thunder,Shai Gilgeous-Alexander,32.73,34.04,30.05,10.61,19.83,1.27,3.59,7.56,8.65,0.87,4.67,5.53,6.2,2.0,0.89,2.16,2.45,8.17,0.535,0.353,0.874,2.8703703703703702,0.9259259259259259,8.373997187991067,103.47675388861543,0.6358035835176242
2023-24,Mavericks,Luka Doncic,30.99,37.49,33.86,11.49,23.6,4.06,10.63,6.83,8.69,0.84,8.4,9.24,9.8,1.41,0.54,4.03,2.13,4.56,0.487,0.382,0.786,2.4326241134751774,0.35106382978723405,12.809331734438025,102.75376659261053,0.6173418354588647
2023-24,Lakers,Anthony Davis,29.16,34.18,23.75,9.03,16.24,0.37,1.35,5.33,6.53,3.03,9.14,12.16,3.37,1.15,2.25,2.01,2.24,1.91,0.556,0.271,0.816,1.6729559748427674,0.5723270440251572,9.526434357474956,116.71281922183991,0.6211755979974041
2023-24,Lakers,LeBron James,26.69,34.3,24.96,9.38,17.38,2.04,4.97,4.15,5.53,0.84,6.26,7.1,8.07,1.22,0.52,3.36,1.07,3.01,0.54,0.41,0.75,2.404081632653061,0.363265306122449,14.481959616021186,103.74058721087096,0.6296828776023666
2023-24,Pacers,Tyrese Haliburton,26.37,32.23,20.13,7.25,15.19,2.83,7.75,2.81,3.29,0.51,3.42,3.93,10.9,1.2,0.7,2.3,1.09,4.26,0.477,0.364,0.855,4.729559748427673,0.5220125786163522,12.166380999020568,102.75183193383019,0.6050284001812035
2023-24,Spurs,Victor Wembanyama,25.94,29.25,21.14,7.65,16.47,1.78,5.47,4.06,5.1,2.24,8.25,10.49,3.81,1.22,3.53,3.61,2.13,-1.99,0.465,0.325,0.796,1.0538461538461539,0.3384615384615385,16.17438475128773,111.1304684475416,0.5647579184848754
2023-24,Kings,Domantas Sabonis,25.61,35.71,19.43,7.73,13.02,0.4,1.06,3.56,5.06,3.59,10.07,13.66,8.21,0.9,0.59,3.32,3.05,0.84,0.594,0.379,0.704,2.474264705882353,0.27205882352941174,17.864179692631026,123.92967605404519,0.6368942907404447
