Team,Season,Classement
CHI,2009,9
IND,2009,10
MIA,2009,11
PHO,2009,9
UTA,2009,10
NOP,2009,11
CHI,2010,9
TOR,2010,10
MIL,2010,11
PHO,2010,9
MEM,2010,10
HOU,2010,11
IND,2011,9
NYK,2011,10
PHI,2011,11
MEM,2011,9
PHO,2011,10
HOU,2011,11
PHI,2012,9
MIL,2012,10
NYK,2012,11
TOR,2013,9
ATL,2013,10
WAS,2013,11
LAL,2013,9
UTA,2013,10
DAL,2013,11
ATL,2014,9
NYK,2014,10
DET,2014,11
PHO,2014,9
MEM,2014,10
DAL,2014,11
BOS,2015,9
MIA,2015,10
IND,2015,11
NOP,2015,9
SAC,2015,10
DEN,2015,11
DET,2016,9
CHI,2016,10
MIA,2016,11
DEN,2016,9
POR,2016,10
UTA,2016,11
DEN,2017,9
POR,2017,10
OKC,2017,11
MIA,2017,9
DET,2017,10
CHI,2017,11
WAS,2018,9
ORL,2018,10
DET,2018,11
LAC,2018,9
SAC,2018,10
LAL,2018,11
ORL,2019,9
BKN,2019,10
WAS,2019,11
SAS,2019,9
POR,2019,10
MEM,2019,11
WAS,2020,9
ORL,2020,10
TOR,2020,11
MEM,2020,9
PHO,2020,10
SAS,2020,11
TOR,2021,9
ATL,2021,10
CHI,2021,11
SAS,2021,9
LAC,2021,10
MIN,2021,11
ATL,2022,9
TOR,2022,10
WAS,2022,11
LAL,2022,9
MIN,2022,10
POR,2022,11
CHI,2023,9
ATL,2023,10
TOR,2023,11
OKC,2023,9
GSW,2023,10
LAL,2023,11
CHI,2024,9
ATL,2024,10
TOR,2024,11
OKC,2024,9
GSW,2024,10
LAL,2024,11
