Season,Team,Position
2009,CLE,East_Top1
2009,BOS,East_Top2
2009,LAL,West_Top1
2009,DEN,West_Top2
2010,CLE,East_Top1
2010,ORL,East_Top2
2010,LAL,West_Top1
2010,DAL,West_Top2
2011,CHI,East_Top1
2011,MIA,East_Top2
2011,SAS,West_Top1
2011,LAL,West_Top2
2012,CHI,East_Top1
2012,MIA,East_Top2
2012,OKC,West_Top1
2012,LAC,West_Top2
2013,MIA,East_Top1
2013,NYK,East_Top2
2013,SAS,West_Top1
2013,OKC,West_Top2
2014,IND,East_Top1
2014,MIA,East_Top2
2014,SAS,West_Top1
2014,OKC,West_Top2
2015,ATL,East_Top1
2015,TOR,East_Top2
2015,GSW,West_Top1
2015,SAS,West_Top2
2016,CLE,East_Top1
2016,TOR,East_Top2
2016,GSW,West_Top1
2016,SAS,West_Top2
2017,BOS,East_Top1
2017,TOR,East_Top2
2017,GSW,West_Top1
2017,SAS,West_Top2
2018,TOR,East_Top1
2018,BOS,East_Top2
2018,HOU,West_Top1
2018,GSW,West_Top2
2019,MIL,East_Top1
2019,TOR,East_Top2
2019,LAL,West_Top1
2019,DEN,West_Top2
2020,MIL,East_Top1
2020,TOR,East_Top2
2020,LAL,West_Top1
2020,LAC,West_Top2
2021,PHI,East_Top1
2021,BKN,East_Top2
2021,UTA,West_Top1
2021,PHO,West_Top2
2022,MIA,East_Top1
2022,PHI,East_Top2
2022,PHO,West_Top1
2022,MEM,West_Top2
2023,MIL,East_Top1
2023,BOS,East_Top2
2023,DEN,West_Top1
2023,MEM,West_Top2
2024,BOS,East_Top1
2024,OKC,West_Top1
