Team,Season,Classement
SAC,2009,15
WAS,2009,14
LAC,2009,13
NJN,2010,15
SAC,2010,14
UTA,2010,13
CLE,2011,15
SAC,2011,14
LAL,2011,13
CHA,2012,15
SAC,2012,14
POR,2012,13
DET,2013,15
CHA,2013,14
MIL,2013,13
DET,2014,15
LAL,2014,14
CHA,2014,13
MIN,2015,15
DET,2015,14
CHA,2015,13
PHI,2016,15
ORL,2016,14
DET,2016,13
PHO,2017,15
WAS,2017,14
CHA,2017,13
MEM,2018,15
NYK,2018,14
CHI,2018,13
SAC,2019,15
CHA,2019,14
DET,2019,13
MIN,2020,15
DET,2020,14
BKN,2020,13
HOU,2021,15
ORL,2021,14
DET,2021,13
DET,2022,15
HOU,2022,14
OKC,2022,13
DET,2023,15
HOU,2023,14
SA,2023,13
DET,2024,15
CHA,2024,14
IND,2024,13
