Trigram,Season,Classement
SAC,2008-09,15
WAS,2008-09,14
LAC,2008-09,13
NJN,2009-10,15
SAC,2009-10,14
UTA,2009-10,13
CLE,2010-11,15
SAC,2010-11,14
LAL,2010-11,13
CHA,2011-12,15
SAC,2011-12,14
POR,2011-12,13
DET,2012-13,15
CHA,2012-13,14
MIL,2012-13,13
DET,2013-14,15
LAL,2013-14,14
CHA,2013-14,13
MIN,2014-15,15
DET,2014-15,14
CHA,2014-15,13
PHI,2015-16,15
ORL,2015-16,14
DET,2015-16,13
PHO,2016-17,15
WAS,2016-17,14
CHA,2016-17,13
MEM,2017-18,15
NYK,2017-18,14
CHI,2017-18,13
SAC,2018-19,15
CHA,2018-19,14
DET,2018-19,13
MIN,2019-20,15
DET,2019-20,14
BKN,2019-20,13
HOU,2020-21,15
ORL,2020-21,14
DET,2020-21,13
DET,2021-22,15
HOU,2021-22,14
OKC,2021-22,13
DET,2022-23,15
HOU,2022-23,14
SA,2022-23,13
DET,2023-24,15
CHA,2023-24,14
IND,2023-24,13
